sku,attribute_set_code,product_type,product_websites,country_of_manufacture,name,description,short_description,weight,product_online,tax_class_name,visibility,price,additional_attributes,qty,is_in_stock,categories
1101603,Products,simple,base,Algeria,boite-darchives-dos-8cm-personnalisable-en-pp-noir-techno-ref-1185,"Boîte d'archive fabriquée en plastique Polypropylène pour contenir des documents volumineux.
 Fermeture par encliquetage.
 Dimensions: Largeur 8 cm x profondeur 33 cm x hauteur 24 cm.
 Une zone d'écriture pour une identification facile et rapide.
 Oeillet de préhension pour faciliter la prise en main. Couleur noir.","Parfaite pour organiser et conserver vos documents commerciaux, financiers, administratifs, etc.",225,2,Taxable Goods,search,0,"mgs_brand=TECHNO,techno_ref=1185",999,1,"Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/CLASSEMENT & ARCHIVAGE/BOITE D ARCHIVES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/CLASSEMENT & ARCHIVAGE,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE,Default Category/Tous les produits,Default Category/Tous les produits/SCOLAIRE/CLASSEMENT & ARCHIVAGE/BOITE D ARCHIVES,Default Category/Tous les produits/SCOLAIRE/CLASSEMENT & ARCHIVAGE,Default Category/Tous les produits/SCOLAIRE"
1101503,Products,simple,base,Algeria,boite-darchives-dos-8cm-personnalisable-en-pp-bleu-techno-ref-1186,"Boîte d'archive fabriquée en plastique Polypropylène pour contenir des documents volumineux.
 Fermeture par encliquetage.
 Dimensions: Largeur 8 cm x profondeur 33 cm x hauteur 24 cm.
 Une zone d'écriture pour une identification facile et rapide.
 Oeillet de préhension pour faciliter la prise en main. Couleur bleu.","Parfaite pour organiser et conserver vos documents commerciaux, financiers, administratifs, etc.",225,2,Taxable Goods,search,0,"mgs_brand=TECHNO,techno_ref=1186",999,1,"Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/CLASSEMENT & ARCHIVAGE/BOITE D ARCHIVES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/CLASSEMENT & ARCHIVAGE,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE,Default Category/Tous les produits,Default Category/Tous les produits/SCOLAIRE/CLASSEMENT & ARCHIVAGE/BOITE D ARCHIVES,Default Category/Tous les produits/SCOLAIRE/CLASSEMENT & ARCHIVAGE,Default Category/Tous les produits/SCOLAIRE"
107999501,Products,simple,base,Algeria,boite-darchives-dos-8cm-personnalisable-en-pp-rouge-techno-ref-1187,"Boîte d'archive fabriquée en plastique Polypropylène pour contenir des documents volumineux.
 Fermeture par encliquetage.
 Dimensions: Largeur 8 cm x profondeur 33 cm x hauteur 24 cm.
 Une zone d'écriture pour une identification facile et rapide.
 Oeillet de préhension pour faciliter la prise en main. Couleur rouge.","Parfaite pour organiser et conserver vos documents commerciaux, financiers, administratifs, etc.",225,2,Taxable Goods,search,0,"mgs_brand=TECHNO,techno_ref=1187",999,1,"Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/CLASSEMENT & ARCHIVAGE/BOITE D ARCHIVES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/CLASSEMENT & ARCHIVAGE,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE,Default Category/Tous les produits,Default Category/Tous les produits/SCOLAIRE/CLASSEMENT & ARCHIVAGE/BOITE D ARCHIVES,Default Category/Tous les produits/SCOLAIRE/CLASSEMENT & ARCHIVAGE,Default Category/Tous les produits/SCOLAIRE"
107999601,Products,simple,base,Algeria,boite-darchives-dos-8cm-personnalisable-en-pp-gris-techno-ref-1188,"Boîte d'archive fabriquée en plastique Polypropylène pour contenir des documents volumineux.
 Fermeture par encliquetage.
 Dimensions: Largeur 8 cm x profondeur 33 cm x hauteur 24 cm.
 Une zone d'écriture pour une identification facile et rapide.
 Oeillet de préhension pour faciliter la prise en main. Couleur gris.","Parfaite pour organiser et conserver vos documents commerciaux, financiers, administratifs, etc.",225,2,Taxable Goods,search,0,"mgs_brand=TECHNO,techno_ref=1188",999,1,"Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/CLASSEMENT & ARCHIVAGE/BOITE D ARCHIVES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/CLASSEMENT & ARCHIVAGE,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE,Default Category/Tous les produits,Default Category/Tous les produits/SCOLAIRE/CLASSEMENT & ARCHIVAGE/BOITE D ARCHIVES,Default Category/Tous les produits/SCOLAIRE/CLASSEMENT & ARCHIVAGE,Default Category/Tous les produits/SCOLAIRE"
107999701,Products,simple,base,Algeria,boite-darchives-dos-8cm-personnalisable-en-pp-vert-techno-ref-1189,"Boîte d'archive fabriquée en plastique Polypropylène pour contenir des documents volumineux.
 Fermeture par encliquetage.
 Dimensions: Largeur 8 cm x profondeur 33 cm x hauteur 24 cm.
 Une zone d'écriture pour une identification facile et rapide.
 Oeillet de préhension pour faciliter la prise en main. Couleur vert.","Parfaite pour organiser et conserver vos documents commerciaux, financiers, administratifs, etc.",225,2,Taxable Goods,search,0,"mgs_brand=TECHNO,techno_ref=1189",999,1,"Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/CLASSEMENT & ARCHIVAGE/BOITE D ARCHIVES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/CLASSEMENT & ARCHIVAGE,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE,Default Category/Tous les produits,Default Category/Tous les produits/SCOLAIRE/CLASSEMENT & ARCHIVAGE/BOITE D ARCHIVES,Default Category/Tous les produits/SCOLAIRE/CLASSEMENT & ARCHIVAGE,Default Category/Tous les produits/SCOLAIRE"
1140621543,Products,configurable,base,Algeria,ote-agrafes-techno-ref-5223,"L’ôte-agrafes Techno est l’outil parfaitement adapté pour retirer proprement les agrafes d’un document sans déchirer le papier, avec un poignées en plastique solide, disponible en 04 couleurs.",Ote agrafes Techno de haute performance.,,2,Taxable Goods,search,0,"mgs_brand=TECHNO,techno_ref=5223",999,1,"Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/AGRAFAGES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE,Default Category/Tous les produits,Default Category/Tous les produits/SCOLAIRE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/SCOLAIRE/AGRAFAGES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits/BRICOLAGE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/BRICOLAGE/AGRAFAGES,Default Category/Tous les produits/BRICOLAGE,Default Category/Tous les produits/LOISIRS CREATIFS/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/LOISIRS CREATIFS/AGRAFAGES,Default Category/Tous les produits/LOISIRS CREATIFS"
1140662428,Products,virtual,base,Algeria,ote-agrafes-techno-beige-ref-5223,"L’ôte-agrafes Techno est l’outil parfaitement adapté pour retirer proprement les agrafes d’un document sans déchirer le papier, avec un poignées en plastique solide, disponible en 04 couleurs.",Ote agrafes Techno de haute performance.,32,2,Taxable Goods,search,0,"mgs_brand=TECHNO,techno_ref=5223,color=BEIGE",999,1,"Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/AGRAFAGES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE,Default Category/Tous les produits,Default Category/Tous les produits/SCOLAIRE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/SCOLAIRE/AGRAFAGES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits/BRICOLAGE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/BRICOLAGE/AGRAFAGES,Default Category/Tous les produits/BRICOLAGE,Default Category/Tous les produits/LOISIRS CREATIFS/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/LOISIRS CREATIFS/AGRAFAGES,Default Category/Tous les produits/LOISIRS CREATIFS"
1140662426,Products,virtual,base,Algeria,ote-agrafes-techno-bleu-ref-5223,"L’ôte-agrafes Techno est l’outil parfaitement adapté pour retirer proprement les agrafes d’un document sans déchirer le papier, avec un poignées en plastique solide, disponible en 04 couleurs.",Ote agrafes Techno de haute performance.,32,2,Taxable Goods,search,0,"mgs_brand=TECHNO,techno_ref=5223,color=BLEU",999,1,"Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/AGRAFAGES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE,Default Category/Tous les produits,Default Category/Tous les produits/SCOLAIRE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/SCOLAIRE/AGRAFAGES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits/BRICOLAGE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/BRICOLAGE/AGRAFAGES,Default Category/Tous les produits/BRICOLAGE,Default Category/Tous les produits/LOISIRS CREATIFS/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/LOISIRS CREATIFS/AGRAFAGES,Default Category/Tous les produits/LOISIRS CREATIFS"
1140662427,Products,virtual,base,Algeria,ote-agrafes-techno-noir-ref-5223,"L’ôte-agrafes Techno est l’outil parfaitement adapté pour retirer proprement les agrafes d’un document sans déchirer le papier, avec un poignées en plastique solide, disponible en 04 couleurs.",Ote agrafes Techno de haute performance.,32,2,Taxable Goods,search,0,"mgs_brand=TECHNO,techno_ref=5223,color=NOIR",999,1,"Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/AGRAFAGES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE,Default Category/Tous les produits,Default Category/Tous les produits/SCOLAIRE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/SCOLAIRE/AGRAFAGES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits/BRICOLAGE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/BRICOLAGE/AGRAFAGES,Default Category/Tous les produits/BRICOLAGE,Default Category/Tous les produits/LOISIRS CREATIFS/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/LOISIRS CREATIFS/AGRAFAGES,Default Category/Tous les produits/LOISIRS CREATIFS"
1140662425,Products,virtual,base,Algeria,ote-agrafes-techno-rouge-ref-5223,"L’ôte-agrafes Techno est l’outil parfaitement adapté pour retirer proprement les agrafes d’un document sans déchirer le papier, avec un poignées en plastique solide, disponible en 04 couleurs.",Ote agrafes Techno de haute performance.,32,2,Taxable Goods,search,0,"mgs_brand=TECHNO,techno_ref=5223,color=ROUGE",999,1,"Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE/AGRAFAGES,Default Category/Tous les produits/BUREAUTIQUE & INFORMATIQUE,Default Category/Tous les produits,Default Category/Tous les produits/SCOLAIRE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/SCOLAIRE/AGRAFAGES,Default Category/Tous les produits/SCOLAIRE,Default Category/Tous les produits/BRICOLAGE/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/BRICOLAGE/AGRAFAGES,Default Category/Tous les produits/BRICOLAGE,Default Category/Tous les produits/LOISIRS CREATIFS/AGRAFAGES/AGRAFES & OTE AGRAFES,Default Category/Tous les produits/LOISIRS CREATIFS/AGRAFAGES,Default Category/Tous les produits/LOISIRS CREATIFS"
